	0	1
383	0.7666666746139527	[32, 5, 'softplus', 'softmax', 'softmax', 'softmax']
1320	0.7666666746139527	[64, 7, 'sigmoid', 'tanh', 'tanh', 'sigmoid']
1445	0.7666666746139527	[64, 7, 'tanh', 'tanh', 'softplus', 'softplus']
1808	0.7666666746139527	[128, 5, 'sigmoid', 'softplus', 'sigmoid', 'sigmoid']
196	0.7666666746139527	[32, 3, 'softmax', 'sigmoid', 'softplus', 'sigmoid']
381	0.7666666746139527	[32, 5, 'softplus', 'softmax', 'softmax', 'softplus']
1336	0.7666666746139527	[64, 7, 'sigmoid', 'softmax', 'tanh', 'sigmoid']
2105	0.7666666746139527	[128, 7, 'sigmoid', 'softmax', 'tanh', 'softplus']
2080	0.7666666746139527	[128, 7, 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']
752	0.7666666746139527	[32, 7, 'softmax', 'softmax', 'sigmoid', 'sigmoid']
2075	0.7666666746139527	[128, 7, 'sigmoid', 'softplus', 'tanh', 'softmax']
748	0.7666666746139527	[32, 7, 'softmax', 'tanh', 'softmax', 'sigmoid']
2192	0.7666666746139527	[128, 7, 'tanh', 'softplus', 'sigmoid', 'sigmoid']
1231	0.7666666746139527	[64, 5, 'softmax', 'sigmoid', 'softmax', 'softmax']
1247	0.7666666746139527	[64, 5, 'softmax', 'softplus', 'softmax', 'softmax']
755	0.7666666746139527	[32, 7, 'softmax', 'softmax', 'sigmoid', 'softmax']
2195	0.7666666746139527	[128, 7, 'tanh', 'softplus', 'sigmoid', 'softmax']
2225	0.7666666746139527	[128, 7, 'tanh', 'softmax', 'sigmoid', 'softplus']
1323	0.7666666746139527	[64, 7, 'sigmoid', 'tanh', 'tanh', 'softmax']
695	0.7666666746139527	[32, 7, 'tanh', 'softmax', 'softplus', 'softmax']
1973	0.7666666746139527	[128, 5, 'tanh', 'softmax', 'softplus', 'softplus']
1308	0.7666666746139527	[64, 7, 'sigmoid', 'softplus', 'softmax', 'sigmoid']
622	0.7666666666666667	[32, 7, 'softplus', 'tanh', 'softmax', 'tanh']
1936	0.7666666666666667	[128, 5, 'tanh', 'softplus', 'sigmoid', 'sigmoid']
1291	0.7666666666666667	[64, 7, 'sigmoid', 'sigmoid', 'tanh', 'softmax']
1965	0.7666666666666667	[128, 5, 'tanh', 'tanh', 'softmax', 'softplus']
565	0.7666666666666667	[32, 7, 'sigmoid', 'softmax', 'softplus', 'softplus']
549	0.7666666666666667	[32, 7, 'sigmoid', 'tanh', 'softplus', 'softplus']
1380	0.7666666666666667	[64, 7, 'softplus', 'tanh', 'softplus', 'sigmoid']
679	0.7666666666666667	[32, 7, 'tanh', 'tanh', 'softplus', 'softmax']
1463	0.7666666666666667	[64, 7, 'tanh', 'softmax', 'softplus', 'softmax']
240	0.7666666666666667	[32, 3, 'softmax', 'softmax', 'sigmoid', 'sigmoid']
1381	0.7666666666666667	[64, 7, 'softplus', 'tanh', 'softplus', 'softplus']
1383	0.7666666666666667	[64, 7, 'softplus', 'tanh', 'softplus', 'softmax']
751	0.7666666666666667	[32, 7, 'softmax', 'tanh', 'softmax', 'softmax']
1375	0.7666666666666667	[64, 7, 'softplus', 'softplus', 'softmax', 'softmax']
1373	0.7666666666666667	[64, 7, 'softplus', 'softplus', 'softmax', 'softplus']
1431	0.7666666666666667	[64, 7, 'tanh', 'softplus', 'softplus', 'softmax']
761	0.7666666666666667	[32, 7, 'softmax', 'softmax', 'tanh', 'softplus']
1289	0.7666666666666667	[64, 7, 'sigmoid', 'sigmoid', 'tanh', 'softplus']
1848	0.7666666666666667	[128, 5, 'sigmoid', 'softmax', 'tanh', 'sigmoid']
1288	0.7666666666666667	[64, 7, 'sigmoid', 'sigmoid', 'tanh', 'sigmoid']
