	acc	val_acc	val_acc_real	loss	val_loss	epochs	conv_num_filters	conv_kernel_size	conv_act	out_act	time_stamp
0	0.48650297619047617	0.6210714285714286		1.431871292591095	1.1854876394498917	1	32	3	sigmoid	sigmoid	2019-03-11 03:12:30.860375
1	0.6426339285714285	0.6517857142857143		1.1180744770736921	1.08856944106874	2	32	3	sigmoid	sigmoid	
2	0.6845833333333333	0.7020833333333333		0.9910840113106228	0.9658875049863542	3	32	3	sigmoid	sigmoid	
3	0.7183928571428572	0.7076785714285714		0.9040216952136585	0.9322228997661954	4	32	3	sigmoid	sigmoid	
4	0.7329464285714286	0.7186309523809524		0.8592347055531684	0.9064599876176743	5	32	3	sigmoid	sigmoid	
5	0.7416220238095238	0.723452380952381		0.8329723156208084	0.8859874491464524	6	32	3	sigmoid	sigmoid	
6	0.7473511904761905	0.7269642857142857		0.8134780713206246	0.8776641465368725	7	32	3	sigmoid	sigmoid	
7	0.7499702380952381	0.7241071428571428		0.8006242404097602	0.883266313700449	8	32	3	sigmoid	sigmoid	
8	0.7543452380952381	0.7257738095238095		0.7873372722878342	0.8796152807985034	9	32	3	sigmoid	sigmoid	
9	0.7586755952380952	0.7249404761904762		0.7763815368853865	0.8829428315730322	10	32	3	sigmoid	sigmoid	
10	0.7616220238095238	0.7285714285714285		0.7660171882311503	0.8730155978884016	11	32	3	sigmoid	sigmoid	
11	0.7641220238095238	0.7283928571428572		0.7587575587204525	0.8677085631801968	12	32	3	sigmoid	sigmoid	
12	0.7690029761904762	0.7191071428571428		0.748713547239701	0.8979169846716382	13	32	3	sigmoid	sigmoid	
13	0.7705505952380952	0.7263095238095238		0.7404517767046179	0.8827333398660024	14	32	3	sigmoid	sigmoid	
14	0.7730059523809524	0.7319642857142857		0.7343361177543799	0.8638901403404418	15	32	3	sigmoid	sigmoid	
15	0.7748511904761904	0.7244642857142857		0.7254639006157716	0.8793219149680365	16	32	3	sigmoid	sigmoid	
16	0.7785119047619048	0.7322619047619048		0.7167986533400559	0.8570424670832498	17	32	3	sigmoid	sigmoid	
17	0.7808333333333334	0.7282142857142857		0.7085691091773055	0.8681555504458291	18	32	3	sigmoid	sigmoid	
18	0.7824255952380952	0.7297023809523809		0.7031868787322726	0.8625868730885642	19	32	3	sigmoid	sigmoid	
19	0.7842261904761905	0.7342857142857143		0.6960783359976042	0.8492638080460685	20	32	3	sigmoid	sigmoid	
20	0.7861160714285714	0.7264880952380952		0.6922485828612532	0.86875286425863	21	32	3	sigmoid	sigmoid	
21	0.7873214285714286	0.7291071428571428		0.6875398152924719	0.8659755351997557	22	32	3	sigmoid	sigmoid	
22	0.7884672619047619	0.7330357142857142		0.6825043332221962	0.8538864138580504	23	32	3	sigmoid	sigmoid	
23	0.7888690476190476	0.7363095238095239		0.678962527854102	0.8469231833730425	24	32	3	sigmoid	sigmoid	
24	0.7908928571428572	0.7330357142857142		0.6736312028694721	0.8536629148891994	25	32	3	sigmoid	sigmoid	
25	0.7916666666666666	0.7304761904761905		0.6692145890281314	0.8554656314282191	26	32	3	sigmoid	sigmoid	
26	0.7940922619047619	0.7306547619047619		0.6655614313908985	0.8609411004043761	27	32	3	sigmoid	sigmoid	
27	0.7961011904761904	0.731845238095238		0.659611072071961	0.856790496792112	28	32	3	sigmoid	sigmoid	
28	0.7963244047619048	0.7360119047619048		0.6588164715752716	0.8512275202501388	29	32	3	sigmoid	sigmoid	
29	0.7969047619047619	0.7308928571428571		0.6553799791988872	0.8669438849176679	30	32	3	sigmoid	sigmoid	
30	0.7978422619047619	0.7331547619047619		0.6518740785760538	0.8673303068251836	31	32	3	sigmoid	sigmoid	
31	0.7989880952380952	0.7361309523809524		0.6485738373583272	0.8380060416743869	32	32	3	sigmoid	sigmoid	
32	0.799047619047619	0.7372619047619048		0.6455110644797484	0.8348379856064206	33	32	3	sigmoid	sigmoid	
33	0.8011309523809523	0.73875		0.6421014252021199	0.8378316650504157	34	32	3	sigmoid	sigmoid	
34	0.801577380952381	0.7363095238095239		0.6391611484544618	0.8441455167248135	35	32	3	sigmoid	sigmoid	
35	0.8031101190476191	0.738452380952381		0.6373559736850716	0.8505576063905443	36	32	3	sigmoid	sigmoid	
36	0.8028571428571428	0.7282738095238095		0.6331960539803618	0.8744137807119461	37	32	3	sigmoid	sigmoid	
37	0.8049553571428572	0.7388690476190476		0.630407958562885	0.840966150647118	38	32	3	sigmoid	sigmoid	
38	0.8050744047619047	0.7348214285714286		0.6289600227986063	0.8496314760616848	39	32	3	sigmoid	sigmoid	
39	0.8050297619047619	0.7370833333333333		0.6273562189298016	0.8424310919784365	40	32	3	sigmoid	sigmoid	
40	0.8069047619047619	0.7354761904761905		0.623880103379488	0.851263351326897	41	32	3	sigmoid	sigmoid	
41	0.807217261904762	0.737202380952381		0.6212460588273548	0.8533469096251897	42	32	3	sigmoid	sigmoid	
42	0.8078125	0.7342857142857143		0.6189982241675968	0.8532479052316575	43	32	3	sigmoid	sigmoid	
43	0.807782738095238	0.7317261904761905		0.6178249699657872	0.8654454756918407	44	32	3	sigmoid	sigmoid	
44	0.809702380952381	0.7348214285714286		0.615154552417142	0.8497376322178614	45	32	3	sigmoid	sigmoid	
45	0.8086011904761905	0.736845238095238		0.6141968041800318	0.8494178160031637	46	32	3	sigmoid	sigmoid	
46	0.8103422619047619	0.7410714285714286		0.6123978386677447	0.8415570861952646	47	32	3	sigmoid	sigmoid	
47	0.8106696428571428	0.7332738095238095		0.6089310452200117	0.8601870510124024	48	32	3	sigmoid	sigmoid	
