	acc	val_acc	val_acc_real	loss	val_loss	epochs	conv_num_filters	conv_kernel_size	conv_act	out_act	time_stamp
0	0.5874404761904762	0.7386309523809523		1.1672940431464287	0.8568320693856194	1	128	3	softplus	sigmoid	2019-04-21 14:56:23.368532
1	0.7571130952380952	0.7611309523809524		0.7865616564523606	0.7729106171925862	2	128	3	softplus	sigmoid	
2	0.7844196428571428	0.7371428571428571		0.6984139630979016	0.8341813000043233	3	128	3	softplus	sigmoid	
3	0.8014434523809524	0.76875		0.6490175292179698	0.7447188925743103	4	128	3	softplus	sigmoid	
4	0.8146130952380952	0.7693452380952381		0.607158905721846	0.7565719664380663	5	128	3	softplus	sigmoid	
5	0.8247321428571428	0.7560119047619047		0.5753554845778716	0.7950494228658223	6	128	3	softplus	sigmoid	
6	0.8337053571428571	0.7694047619047619		0.5467572976471413	0.7595310106163933	7	128	3	softplus	sigmoid	
7	0.8431398809523809	0.7604761904761905		0.5210585302079008	0.7851142989453815	8	128	3	softplus	sigmoid	
8	0.8484970238095239	0.7622619047619048		0.5033687632211618	0.8124417219843183	9	128	3	softplus	sigmoid	
9	0.8570386904761905	0.7642261904761904		0.4798435449529262	0.8072042605990455	10	128	3	softplus	sigmoid	
10	0.8621279761904762	0.7632738095238095		0.4633359576726244	0.8042866251582191	11	128	3	softplus	sigmoid	
11	0.8676339285714286	0.7528571428571429		0.44749822015208857	0.841535560687383	12	128	3	softplus	sigmoid	
12	0.8731696428571428	0.76		0.4303253339160056	0.8415500778811319	13	128	3	softplus	sigmoid	
13	0.8772916666666667	0.7630952380952379		0.419078870607274	0.818491060705412	14	128	3	softplus	sigmoid	
14	0.8798660714285714	0.7560714285714286		0.4079044216445514	0.8479055572123755	15	128	3	softplus	sigmoid	
15	0.8847172619047619	0.7598214285714285		0.3935750886726947	0.8610199832064764	16	128	3	softplus	sigmoid	
16	0.8882440476190476	0.7617857142857143		0.3831630158867864	0.8749563601187297	17	128	3	softplus	sigmoid	
17	0.8922916666666667	0.7584523809523811		0.3723361088938657	0.8816496596449898	18	128	3	softplus	sigmoid	
18	0.8942559523809523	0.7545238095238095		0.36645239333666507	0.8886488490161442	19	128	3	softplus	sigmoid	
19	0.8980357142857143	0.7446428571428572		0.3544097123649858	0.9188044422581082	20	128	3	softplus	sigmoid	
20	0.9011458333333332	0.7486904761904762		0.3451531461102977	0.9230700575737726	21	128	3	softplus	sigmoid	
21	0.9026339285714284	0.7510714285714286		0.33917900737197626	0.9385896164178849	22	128	3	softplus	sigmoid	
22	0.9056398809523808	0.7500595238095238		0.3304326769993419	0.9428140575829006	23	128	3	softplus	sigmoid	
23	0.907782738095238	0.7477380952380952		0.325048647025334	0.9737892998967852	24	128	3	softplus	sigmoid	
24	0.909315476190476	0.7485714285714286		0.3198853771521577	0.9688862003315064	25	128	3	softplus	sigmoid	
25	0.9115773809523811	0.7510714285714286		0.3125240561951484	0.9502369475364684	26	128	3	softplus	sigmoid	
26	0.9141964285714286	0.7470833333333333		0.3058054362840596	0.9821443968159812	27	128	3	softplus	sigmoid	
27	0.915342261904762	0.7416071428571429		0.29989705276276385	1.0322950251329512	28	128	3	softplus	sigmoid	
28	0.9134226190476189	0.7380357142857142		0.30090398711995003	1.0340348066602434	29	128	3	softplus	sigmoid	
29	0.92	0.7480357142857142		0.28900377129071525	1.011549823284149	30	128	3	softplus	sigmoid	
30	0.9191369047619048	0.7449404761904762		0.2901005384858166	1.0257645776442121	31	128	3	softplus	sigmoid	
31	0.9198214285714286	0.7435714285714285		0.28634524880686685	1.065017402484303	32	128	3	softplus	sigmoid	
32	0.9232738095238096	0.7449404761904762		0.2751738087469268	1.033612678874107	33	128	3	softplus	sigmoid	
33	0.9232291666666668	0.7438690476190476		0.2760878617307615	1.0445995312077658	34	128	3	softplus	sigmoid	
34	0.9243303571428572	0.745		0.27174606398634965	1.0911448761395046	35	128	3	softplus	sigmoid	
35	0.924940476190476	0.7444642857142857		0.2684842039156883	1.0770771614426655	36	128	3	softplus	sigmoid	
36	0.9284523809523808	0.7417261904761905		0.26275515078345224	1.0741665838445935	37	128	3	softplus	sigmoid	
37	0.9279017857142856	0.7400595238095238		0.2612581628729545	1.1537618482112884	38	128	3	softplus	sigmoid	
38	0.9283184523809525	0.7417261904761905		0.2584590918774761	1.1157718081701369	39	128	3	softplus	sigmoid	
39	0.9319791666666668	0.7447023809523811		0.24867960320874336	1.1113574652444749	40	128	3	softplus	sigmoid	
40	0.9300446428571428	0.7438690476190476		0.25527665110482345	1.0834703259241014	41	128	3	softplus	sigmoid	
41	0.931904761904762	0.7364285714285714		0.24859479191402595	1.130053083045142	42	128	3	softplus	sigmoid	
42	0.9327827380952379	0.7361309523809524		0.2458462321456699	1.1610135354314532	43	128	3	softplus	sigmoid	
43	0.9332589285714286	0.7358928571428571		0.2429382658944953	1.105015341838201	44	128	3	softplus	sigmoid	
44	0.9351785714285714	0.7382738095238095		0.23809474381219065	1.1588686195441655	45	128	3	softplus	sigmoid	
45	0.9339583333333332	0.7397619047619047		0.24000311606607974	1.127831435345468	46	128	3	softplus	sigmoid	
46	0.9351488095238096	0.7394642857142857		0.2377838142828217	1.1040178809279486	47	128	3	softplus	sigmoid	
47	0.9355803571428573	0.7389880952380953		0.23563502096970165	1.1626241951329368	48	128	3	softplus	sigmoid	
48	0.9369345238095238	0.7408333333333333		0.2298273802238206	1.174943793557939	49	128	3	softplus	sigmoid	
