,0
631,L025
632,H42
633,U033
634,R25
635,H123
636,G03
637,I033
638,R192
639,Q032
640,M01
641,R12
642,Q50
643,O53
644,A196
645,D33
646,X02
647,B192
648,M60
649,L30
650,I05
651,H41
652,B014
653,S038
654,Q42
655,V033
656,J99
657,F19
658,A016
659,I44
660,Q03
661,H20
662,D05
663,E036
664,X023
665,A02
666,E057
667,F50
668,P038
669,P87
670,T03
671,P88
672,A113
673,Q51
674,D113
675,Q112
676,I127
677,C036
678,L02
679,K34
680,G40
681,R022
682,R61
683,O19
684,H11
685,A24
686,A84
687,B027
688,A027
689,K35
690,H40
691,W052
692,F113
693,E115
694,H128
695,V03
696,R63
697,I99
698,W60
699,V05
700,N01
701,S112
702,G128
703,Y99
704,Q053
705,B033
706,U193
707,B194
708,O115
709,I23
710,Q38
711,I12
712,I195
713,U194
714,I19
715,A125
716,C125
717,I02
718,K12
719,W19
720,E123
721,F114
722,H124
723,S022
724,D60
725,H81
726,P022
727,M192
728,B023
729,E058
730,G118
731,X033
732,M11
733,P023
734,L055
735,F052
736,E053
737,K192
738,C40
739,S012
740,A013
741,J124
742,D122
743,Y115
744,J192
745,K11
746,Q035
747,G198
748,C034
749,A128
750,B022
751,Q01
752,L052
753,B018
754,C023
755,Y33
756,B198
757,P114
758,R23
759,O43
760,J02
761,P03
762,D125
763,S013
764,G125
765,G25
766,B058
767,K032
768,I116
769,S128
770,A114
771,F01
772,C015
773,S114
774,R19
775,P034
776,C124
777,B129
778,O123
779,G01
780,X123
781,V11
782,V26
783,D31
784,C026
785,Q41
786,W024
787,A014
788,S024
789,P198
790,B025
791,A267
792,U013
793,T117
794,W113
795,P032
796,X198
797,P122
798,P113
799,B024
800,O02
801,D014
802,G032
803,R01
804,H129
805,C02
806,I018
807,N80
808,E035
809,F12
810,S194
811,U035
812,B015
813,B40
814,A117
815,P61
816,W11
817,A012
818,G039
819,I013
820,M122
821,E026
822,G05
823,B054
824,B019
825,H19
826,V35
827,V23
828,P027
829,G034
830,S01
831,F54
832,U052
833,B113
834,F022
835,E037
836,G018
837,V25
838,W123
839,C016
840,K02
841,I017
842,N05
843,P24
844,L014
845,Y03
846,K033
